Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,11
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,1
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,5
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,5
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,3
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,12
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,10
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,8
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,1
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,11
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,10
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,5
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,1
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,6
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,3
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,4
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,6
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,5
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,10
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,7
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,10
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,11
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,7
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,10
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,4
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,12
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,2
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,1
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,12
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,2
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,8
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,7
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,4
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,5
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,12
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,11
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,3
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,6
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,1
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,6
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,12
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,11
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,3
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,5
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,10
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,10
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,8
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,7
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,9
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,1
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,3
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,11
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,3
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,12
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,8
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,8
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,9
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,5
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,10
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,12
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,12
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,10
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,5
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,6
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,5
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,3
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,8
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,4
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,11
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,9
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,11
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,3
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,10
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,9
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,1
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,11
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,6
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,1
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,2
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,7
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,5
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,1
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,10
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,2
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,2
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,9
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,2
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,12
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,9
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,10
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,5
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,9
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,8
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,4
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,1
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,6
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,7
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,12
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,11
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,7
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,9
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,3
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,5
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,4
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,10
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,10
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,4
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,6
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,5
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,12
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,9
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,10
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,3
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,10
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,10
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,5
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,7
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,4
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,2
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,7
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,8
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,8
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,1
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,12
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,2
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,7
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,4
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,8
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,8
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,2
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,10
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,2
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,1
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,11
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,1
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,2
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,5
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,4
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,7
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,3
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,7
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,1
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,8
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,9
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,4
315,2023-06-01,CUST315,Male,47,Clothing,2,30,60,6
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,1
318,2023-10-24,CUST318,Male,61,Clothing,1,25,25,10
319,2023-10-05,CUST319,Male,31,Clothing,1,500,500,10
322,2023-01-30,CUST322,Male,51,Electronics,1,500,500,1
327,2023-09-29,CUST327,Male,57,Electronics,3,50,150,9
328,2023-03-22,CUST328,Male,39,Beauty,2,50,100,3
331,2023-02-11,CUST331,Male,28,Electronics,3,30,90,2
332,2023-04-06,CUST332,Male,58,Electronics,4,300,1200,4
334,2023-11-01,CUST334,Male,31,Electronics,3,300,900,11
337,2023-05-01,CUST337,Male,38,Clothing,1,500,500,5
338,2023-07-26,CUST338,Male,54,Beauty,2,50,100,7
341,2023-05-07,CUST341,Male,31,Clothing,4,50,200,5
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50,11
345,2023-11-14,CUST345,Male,62,Electronics,1,30,30,11
346,2023-02-11,CUST346,Male,59,Clothing,2,500,1000,2
347,2023-08-03,CUST347,Male,42,Electronics,1,25,25,8
350,2023-10-17,CUST350,Male,25,Beauty,3,25,75,10
352,2023-06-11,CUST352,Male,57,Electronics,2,500,1000,6
353,2023-05-14,CUST353,Male,31,Electronics,1,500,500,5
356,2023-06-10,CUST356,Male,50,Electronics,3,500,1500,6
359,2023-07-22,CUST359,Male,50,Clothing,1,50,50,7
360,2023-03-09,CUST360,Male,42,Clothing,4,25,100,3
362,2023-11-27,CUST362,Male,50,Clothing,1,25,25,11
363,2023-06-03,CUST363,Male,64,Beauty,1,25,25,6
365,2023-06-11,CUST365,Male,31,Clothing,1,300,300,6
366,2023-02-07,CUST366,Male,57,Clothing,2,50,100,2
369,2023-11-15,CUST369,Male,23,Electronics,3,500,1500,11
370,2023-10-16,CUST370,Male,23,Electronics,2,30,60,10
375,2023-09-17,CUST375,Male,32,Clothing,1,50,50,9
378,2023-06-28,CUST378,Male,50,Beauty,1,300,300,6
380,2023-05-06,CUST380,Male,56,Electronics,2,300,600,5
384,2023-08-13,CUST384,Male,55,Clothing,1,500,500,8
385,2023-10-06,CUST385,Male,50,Electronics,3,500,1500,10
387,2023-06-04,CUST387,Male,44,Beauty,1,30,30,6
388,2023-11-10,CUST388,Male,50,Electronics,1,25,25,11
389,2023-12-01,CUST389,Male,21,Clothing,2,25,50,12
390,2023-09-28,CUST390,Male,39,Electronics,2,50,100,9
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50,1
392,2023-12-08,CUST392,Male,27,Clothing,2,300,600,12
395,2023-12-06,CUST395,Male,50,Electronics,2,500,1000,12
400,2023-02-24,CUST400,Male,53,Clothing,4,50,200,2
403,2023-05-20,CUST403,Male,32,Clothing,2,300,600,5
404,2023-05-25,CUST404,Male,46,Electronics,2,500,1000,5
411,2023-05-16,CUST411,Male,62,Electronics,4,50,200,5
414,2023-05-09,CUST414,Male,48,Beauty,4,25,100,5
415,2023-01-27,CUST415,Male,53,Clothing,2,30,60,1
416,2023-02-17,CUST416,Male,53,Electronics,4,500,2000,2
417,2023-11-21,CUST417,Male,43,Electronics,3,300,900,11
424,2023-11-23,CUST424,Male,57,Beauty,4,300,1200,11
426,2023-03-24,CUST426,Male,23,Electronics,3,50,150,3
427,2023-08-15,CUST427,Male,25,Electronics,1,25,25,8
429,2023-12-28,CUST429,Male,64,Electronics,2,25,50,12
431,2023-10-15,CUST431,Male,63,Electronics,4,300,1200,10
433,2023-02-27,CUST433,Male,29,Beauty,4,50,200,2
439,2023-07-09,CUST439,Male,50,Clothing,3,25,75,7
440,2023-10-26,CUST440,Male,64,Clothing,2,300,600,10
441,2023-10-10,CUST441,Male,57,Beauty,4,300,1200,10
443,2023-08-09,CUST443,Male,29,Clothing,2,300,600,8
446,2023-06-07,CUST446,Male,21,Electronics,1,50,50,6
447,2023-07-06,CUST447,Male,22,Beauty,4,500,2000,7
449,2023-07-03,CUST449,Male,25,Electronics,4,50,200,7
455,2023-07-01,CUST455,Male,31,Electronics,4,25,100,7
456,2023-10-14,CUST456,Male,57,Electronics,2,30,60,10
459,2023-03-21,CUST459,Male,28,Clothing,4,300,1200,3
460,2023-05-02,CUST460,Male,40,Beauty,1,50,50,5
462,2023-04-01,CUST462,Male,63,Electronics,4,300,1200,4
464,2023-01-13,CUST464,Male,38,Electronics,2,300,600,1
466,2023-06-20,CUST466,Male,63,Electronics,4,25,100,6
468,2023-12-09,CUST468,Male,40,Electronics,1,25,25,12
469,2023-05-08,CUST469,Male,18,Beauty,3,25,75,5
471,2023-03-23,CUST471,Male,32,Clothing,3,50,150,3
473,2023-02-25,CUST473,Male,64,Beauty,1,50,50,2
475,2023-01-20,CUST475,Male,26,Clothing,3,25,75,1
477,2023-04-24,CUST477,Male,43,Clothing,4,30,120,4
479,2023-08-24,CUST479,Male,52,Electronics,4,300,1200,8
483,2023-04-25,CUST483,Male,55,Clothing,1,30,30,4
485,2023-12-04,CUST485,Male,24,Electronics,1,30,30,12
487,2023-07-24,CUST487,Male,44,Clothing,4,500,2000,7
489,2023-05-23,CUST489,Male,44,Electronics,1,30,30,5
490,2023-02-05,CUST490,Male,34,Clothing,3,50,150,2
492,2023-06-29,CUST492,Male,61,Beauty,4,25,100,6
493,2023-11-25,CUST493,Male,41,Beauty,2,25,50,11
495,2023-07-24,CUST495,Male,24,Beauty,2,30,60,7
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600,12
497,2023-10-02,CUST497,Male,41,Clothing,4,30,120,10
499,2023-01-15,CUST499,Male,46,Beauty,2,30,60,1
